feature,feature_ko,coefficient,abs_coefficient,direction
games_behind_5th,5위와 게임차,-1.0572093189500291,1.0572093189500291,negative
prev_team_era,전년도 ERA,0.8070484694174364,0.8070484694174364,positive
prev_team_whip,전년도 WHIP,-0.6638657608430755,0.6638657608430755,negative
games_behind,현재 게임차,-0.5916239479215907,0.5916239479215907,negative
rank,현재 순위,-0.5534950844550814,0.5534950844550814,negative
avg3yr_team_era,최근3년 평균 ERA,-0.548412731818535,0.548412731818535,negative
avg3yr_run_differential,최근3년 평균 득실차,0.5257468439593157,0.5257468439593157,positive
prev_team_ops,전년도 OPS,-0.4490241052169272,0.4490241052169272,negative
wins_to_5th,5위 추격 필요승,-0.3424642778624194,0.3424642778624194,negative
games_played_ratio,시즌 진행률,0.3351063351575874,0.3351063351575874,positive
home_win_rate,홈 승률,-0.31318464235817284,0.31318464235817284,negative
prev_top5_hitter_ops_avg,전년도 상위5타자 OPS,-0.2778551306900594,0.2778551306900594,negative
trend_run_differential,득실차 추세,0.18561323844552113,0.18561323844552113,positive
prev_k_bb_ratio,전년도 K/BB,-0.14134338077994246,0.14134338077994246,negative
prev_pythagorean_win_rate,전년도 피타고리안 승률,0.12004514222656823,0.12004514222656823,positive
win_rate,현재 승률,0.08608034813912005,0.08608034813912005,positive
recent10_win_rate,최근 10경기 승률,0.07414258938586883,0.07414258938586883,positive
away_win_rate,원정 승률,0.04031828602806037,0.04031828602806037,positive
prev_run_differential,전년도 득실차,-0.039072682391460674,0.039072682391460674,negative
trend_team_era,ERA 추세,0.03790421746958221,0.03790421746958221,positive
